iter	Passed	Remaining
0	2	2989
1	5	2700
2	7	2657
3	10	2609
4	13	2591
5	15	2556
6	18	2585
7	20	2570
8	23	2554
9	25	2567
10	28	2551
11	31	2569
12	33	2569
13	36	2561
14	39	2577
15	41	2540
16	44	2548
17	46	2544
18	49	2542
19	51	2538
20	54	2540
21	57	2557
22	60	2563
23	63	2568
24	65	2564
25	68	2561
26	71	2571
27	73	2568
28	77	2581
29	79	2584
30	82	2584
31	85	2592
32	88	2595
33	91	2604
34	94	2598
35	97	2601
36	99	2600
37	103	2607
38	106	2612
39	109	2617
40	111	2613
41	114	2611
42	117	2607
43	120	2615
44	123	2616
45	126	2614
46	129	2616
47	131	2614
48	135	2626
49	138	2637
50	141	2630
51	144	2627
52	146	2625
53	150	2627
54	153	2630
55	155	2628
56	158	2626
57	162	2631
58	165	2635
59	168	2646
60	171	2642
61	174	2642
62	177	2641
63	180	2643
64	195	2811
65	198	2810
66	201	2812
67	205	2809
68	208	2809
69	210	2799
70	214	2800
71	217	2801
72	220	2796
73	223	2793
74	225	2786
75	228	2781
76	232	2783
77	235	2782
78	238	2778
79	240	2771
80	244	2769
81	247	2770
82	250	2768
83	253	2768
84	256	2760
85	259	2755
86	262	2755
87	265	2752
88	268	2750
89	271	2742
90	274	2738
91	277	2737
92	280	2738
93	284	2738
94	287	2734
95	290	2731
96	293	2731
97	296	2733
98	299	2729
99	302	2725
100	305	2722
101	309	2720
102	312	2720
103	315	2717
104	323	2758
105	330	2783
106	335	2800
107	339	2807
108	346	2830
109	351	2844
110	355	2846
111	361	2864
112	365	2869
113	369	2872
114	372	2869
115	376	2866
116	379	2861
117	382	2861
118	388	2872
119	394	2892
120	397	2890
121	400	2885
122	404	2882
123	407	2879
124	410	2875
125	413	2868
126	416	2861
127	419	2856
128	422	2852
129	425	2845
130	428	2841
131	431	2834
132	433	2827
133	437	2826
134	440	2821
135	443	2817
136	446	2814
137	450	2811
138	453	2809
139	456	2804
140	459	2799
141	462	2794
142	465	2787
143	469	2788
144	472	2785
145	475	2780
146	478	2777
147	481	2772
148	485	2770
149	488	2765
150	490	2758
151	493	2751
152	496	2746
153	498	2740
154	502	2737
155	505	2732
156	507	2726
157	510	2720
158	513	2715
159	516	2710
160	519	2706
161	522	2700
162	524	2694
163	527	2689
