iter	Passed	Remaining
0	2	2871
1	4	2457
2	7	2604
3	10	2705
4	13	2625
5	15	2579
6	18	2569
7	20	2497
8	22	2482
9	26	2634
10	28	2596
11	31	2583
12	33	2534
13	35	2486
14	37	2466
15	40	2472
16	42	2451
17	45	2485
18	47	2477
19	50	2458
20	52	2453
21	55	2445
22	58	2470
23	61	2486
24	63	2466
25	65	2471
26	68	2470
27	71	2465
28	73	2470
29	76	2466
30	78	2447
31	80	2437
32	83	2439
33	85	2432
34	88	2430
35	91	2437
36	93	2429
37	95	2427
38	98	2418
39	100	2407
40	102	2394
41	104	2389
42	107	2386
43	109	2375
44	111	2368
45	117	2444
46	135	2745
47	138	2744
48	141	2739
49	143	2734
50	145	2715
51	148	2713
52	151	2704
53	154	2701
54	156	2693
55	159	2684
56	161	2675
57	164	2676
58	167	2677
59	171	2680
60	173	2675
61	176	2666
62	181	2694
63	183	2689
64	186	2678
65	188	2663
66	190	2656
67	193	2646
68	195	2637
69	197	2628
70	200	2621
71	202	2614
72	205	2603
73	207	2600
74	210	2600
75	213	2600
76	216	2594
77	218	2580
78	220	2570
79	222	2560
80	225	2560
81	228	2560
82	231	2555
83	233	2547
84	235	2536
85	238	2534
86	240	2524
87	242	2517
88	245	2508
89	247	2500
90	249	2489
91	251	2481
92	253	2475
93	256	2469
94	259	2471
95	262	2467
96	264	2461
97	266	2450
98	268	2444
99	270	2436
100	273	2434
101	276	2430
102	278	2425
103	280	2418
104	283	2415
105	285	2406
106	287	2397
107	289	2395
108	292	2390
109	294	2383
110	296	2376
111	298	2370
112	300	2362
113	303	2356
114	305	2354
115	308	2349
116	310	2343
117	312	2338
118	315	2332
119	317	2326
120	323	2347
121	325	2342
122	328	2339
123	330	2333
124	332	2327
125	335	2325
126	337	2321
127	339	2314
128	342	2311
129	344	2306
130	346	2299
131	348	2292
132	351	2289
133	353	2286
134	355	2280
135	358	2278
136	360	2272
137	362	2267
138	365	2266
139	368	2263
140	370	2258
141	373	2255
142	375	2249
143	377	2242
144	379	2239
145	382	2235
146	384	2231
147	386	2225
148	388	2219
149	390	2215
150	393	2210
151	395	2205
152	397	2202
153	400	2199
154	403	2197
155	405	2193
156	407	2188
157	409	2184
158	411	2179
159	414	2174
160	416	2169
161	418	2166
162	420	2159
163	422	2154
164	424	2150
165	426	2144
166	429	2142
167	431	2137
168	433	2133
169	435	2127
170	437	2121
171	439	2115
172	441	2110
173	444	2110
174	446	2105
175	448	2101
176	450	2094
177	452	2089
178	454	2083
179	456	2078
180	458	2075
181	460	2071
182	463	2067
183	465	2062
184	467	2057
185	469	2053
186	471	2048
187	473	2043
188	475	2040
189	477	2036
190	479	2031
191	481	2026
192	483	2021
193	485	2016
194	487	2010
195	488	2005
196	491	2002
197	493	1999
198	495	1995
199	498	1992
200	500	1989
201	502	1985
202	504	1981
203	507	1979
204	509	1976
205	512	1974
206	528	2022
207	530	2019
208	533	2017
209	534	2012
210	536	2007
211	539	2005
212	541	2001
213	543	1998
214	546	1994
215	548	1990
216	550	1987
217	553	1984
218	555	1981
219	558	1978
220	560	1975
221	562	1970
222	564	1967
223	566	1963
224	568	1959
225	571	1956
226	573	1953
227	575	1950
228	577	1945
229	580	1942
230	582	1940
231	585	1937
232	587	1935
233	590	1932
234	592	1928
235	594	1924
236	597	1922
237	599	1920
238	602	1918
239	604	1915
240	607	1912
241	609	1909
242	611	1905
243	613	1901
244	615	1897
245	617	1893
246	620	1891
247	622	1887
248	624	1882
249	626	1878
250	628	1875
251	630	1872
252	633	1869
253	635	1867
254	638	1864
255	639	1859
256	642	1858
257	645	1856
258	646	1850
259	649	1847
260	651	1843
261	653	1841
262	655	1836
263	657	1833
264	660	1831
265	662	1827
266	664	1824
267	666	1820
268	668	1817
269	670	1813
270	672	1809
271	674	1806
272	677	1803
273	679	1799
274	681	1796
275	684	1794
276	686	1791
277	688	1788
278	691	1785
279	692	1781
280	695	1778
281	697	1776
282	699	1773
283	701	1769
284	703	1765
285	706	1763
286	708	1760
287	710	1756
288	712	1753
289	714	1750
290	716	1746
291	718	1742
292	720	1738
293	722	1735
294	724	1731
295	726	1728
296	728	1725
297	730	1721
298	732	1717
299	735	1715
300	737	1711
301	739	1708
302	741	1705
303	743	1702
304	745	1698
305	747	1695
306	749	1691
307	751	1688
308	754	1686
309	756	1682
310	758	1680
311	760	1677
312	762	1673
313	764	1669
314	766	1665
315	768	1663
316	770	1659
317	771	1655
318	773	1652
319	775	1648
320	777	1645
321	779	1642
322	782	1639
323	784	1636
324	786	1633
325	788	1630
326	790	1627
327	792	1623
328	794	1620
329	796	1617
330	798	1614
331	801	1611
332	803	1609
333	805	1606
334	807	1603
335	809	1600
336	812	1597
337	814	1595
338	817	1593
339	819	1591
340	821	1588
341	824	1585
342	826	1583
343	829	1581
344	832	1580
345	834	1578
346	837	1575
347	839	1573
348	842	1571
349	845	1569
350	847	1567
351	850	1565
352	852	1563
353	855	1560
354	857	1558
355	860	1556
356	862	1554
357	865	1551
358	867	1548
359	869	1545
360	871	1542
361	873	1539
362	876	1538
363	895	1564
364	897	1561
365	899	1558
366	902	1556
367	904	1552
368	905	1548
369	908	1546
370	910	1543
371	912	1541
372	915	1539
373	917	1536
374	919	1533
375	922	1530
376	924	1527
377	926	1524
378	929	1523
379	931	1520
380	933	1517
381	935	1513
382	937	1511
383	940	1509
384	942	1505
385	944	1502
386	946	1499
387	948	1496
388	949	1492
389	951	1488
390	953	1485
391	956	1482
392	958	1480
393	960	1477
394	963	1475
395	964	1471
396	966	1468
397	969	1466
398	971	1463
399	973	1460
400	976	1458
401	978	1456
402	980	1453
403	983	1450
404	985	1447
405	987	1444
406	989	1442
407	992	1439
408	994	1436
409	996	1433
410	998	1430
411	1000	1427
412	1002	1425
413	1005	1422
414	1007	1419
415	1009	1417
416	1011	1413
417	1013	1410
418	1015	1407
419	1017	1404
420	1019	1402
421	1022	1400
422	1024	1397
423	1026	1394
424	1027	1390
425	1029	1387
426	1031	1384
427	1033	1381
428	1036	1379
429	1038	1376
430	1040	1373
431	1042	1370
432	1044	1367
433	1046	1364
434	1048	1362
435	1050	1359
436	1052	1356
437	1054	1353
438	1056	1350
439	1059	1347
440	1061	1344
441	1062	1341
442	1065	1339
443	1067	1336
444	1069	1333
445	1071	1331
446	1073	1328
447	1076	1326
448	1078	1323
449	1081	1321
450	1083	1319
451	1086	1316
452	1088	1314
453	1090	1311
454	1092	1309
455	1095	1306
456	1097	1304
457	1100	1302
458	1102	1300
459	1105	1297
460	1107	1294
461	1110	1292
462	1112	1290
463	1115	1288
464	1118	1286
465	1120	1283
466	1122	1280
467	1124	1278
468	1126	1275
469	1129	1273
470	1131	1270
471	1133	1268
472	1135	1265
473	1137	1262
474	1140	1260
475	1142	1257
476	1144	1255
477	1146	1252
478	1149	1250
479	1151	1247
480	1154	1245
481	1156	1242
482	1158	1240
483	1160	1237
484	1162	1234
485	1164	1231
486	1166	1228
487	1168	1226
488	1170	1223
489	1172	1220
490	1174	1217
491	1176	1214
492	1178	1212
493	1180	1209
494	1182	1206
495	1185	1204
496	1187	1202
497	1189	1199
498	1191	1196
499	1193	1193
500	1196	1191
501	1198	1188
502	1200	1185
503	1201	1182
504	1204	1180
505	1206	1177
506	1208	1175
507	1210	1172
508	1212	1169
509	1214	1167
510	1217	1164
511	1219	1162
512	1221	1159
513	1223	1156
514	1225	1154
515	1227	1151
516	1229	1148
517	1231	1145
518	1234	1143
519	1236	1141
520	1237	1138
521	1239	1135
522	1241	1132
523	1243	1129
524	1245	1127
525	1248	1124
526	1250	1122
527	1252	1119
528	1254	1116
529	1255	1113
530	1257	1110
531	1259	1107
532	1261	1105
533	1263	1102
534	1265	1100
535	1267	1097
536	1269	1094
537	1272	1092
538	1274	1090
539	1276	1087
540	1279	1085
541	1281	1082
542	1283	1080
543	1285	1077
544	1287	1074
545	1289	1072
546	1292	1070
547	1294	1067
548	1297	1065
549	1299	1062
550	1301	1060
551	1303	1058
552	1306	1055
553	1308	1053
554	1311	1051
555	1313	1049
556	1316	1046
557	1318	1044
558	1321	1042
559	1323	1039
560	1326	1037
561	1328	1035
562	1330	1032
563	1332	1030
564	1334	1027
565	1336	1024
566	1338	1022
567	1340	1019
568	1342	1017
569	1344	1014
570	1346	1011
571	1347	1008
572	1349	1005
573	1351	1003
574	1353	1000
575	1357	998
576	1359	996
577	1362	994
578	1364	991
579	1365	989
580	1367	986
581	1369	983
582	1372	981
583	1375	979
584	1377	977
585	1379	974
586	1381	972
587	1384	969
588	1386	967
589	1389	965
590	1391	963
591	1394	960
592	1395	958
593	1398	955
594	1400	953
595	1402	950
596	1405	948
597	1407	946
598	1409	943
599	1411	941
600	1414	938
601	1416	936
602	1419	934
603	1421	931
604	1424	929
605	1426	927
606	1428	925
607	1431	922
608	1434	920
609	1436	918
610	1439	916
611	1441	913
612	1444	911
613	1446	909
614	1448	907
615	1451	904
616	1453	902
617	1455	899
618	1457	897
619	1459	894
620	1461	891
621	1463	889
622	1465	886
623	1468	884
624	1470	882
625	1472	879
626	1474	877
627	1476	874
628	1478	872
629	1481	869
630	1483	867
631	1485	864
632	1487	862
633	1488	859
634	1490	856
635	1492	854
636	1495	851
637	1497	849
638	1499	847
639	1501	844
640	1503	842
641	1505	839
642	1507	837
643	1509	834
644	1511	832
645	1514	829
646	1516	827
647	1517	824
648	1519	821
649	1521	819
650	1523	816
651	1525	814
652	1528	812
653	1530	809
654	1532	806
655	1534	804
